source_id,title_original,title_english,authors_org,year,language,source_type,url_or_doi,reliability_tier,geo_scope,sector_scope,key_claims,useful_indicators,limitations,date_added,added_by,review_status,placeholder,notes
src-v0-dr-079,State of Social Protection Report 2025,State of Social Protection Report 2025,World Bank,2025,English,intergovernmental_report,missing,A,global,distribution,Measures social protection coverage adequacy and shock responsiveness,social protection coverage; adequacy; portability,Not AI-specific but adaptation-critical,2026-06-26,Codex,staged,false,Official World Bank source
src-v0-dr-080,OMB Memoranda M-25-21 and M-25-22,OMB AI Governance and AI Acquisition Memoranda,U.S. Office of Management and Budget,2025,English,government_policy,missing,A,United States,public-sector,Guides federal agency AI use governance safeguards and procurement,agency AI governance; procurement guidance; use inventories,Official rules not outcome evidence,2026-06-26,Codex,staged,false,Official government source
src-v0-dr-081,AI Risk Management Framework,AI Risk Management Framework,NIST,2023-2026,English,government_framework,missing,A,United States,governance,Voluntary risk-management framework for trustworthy AI,governance practice; risk controls; evaluation pathways,Voluntary and not adoption/outcome data,2026-06-26,Codex,staged,false,Official government framework
src-v0-dr-082,America's AI Action Plan,America's AI Action Plan,White House,2025,English,government_strategy,missing,A,United States,cross-cutting,Frames U.S. AI strategy around innovation infrastructure energy exports and adoption,permitting agenda; data center strategy; workforce and export policy,Official policy not independent validation,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-083,Nationale Rechenzentrumsstrategie,National Data Center Strategy,Federal Government of Germany,2026,German,government_strategy,missing,A,Germany,compute-energy,Targets expanded data center HPC and AI connection capacity while managing efficiency,connection capacity targets; HPC/AI capacity; waste-heat obligations,Official targets not realized buildout,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-084,人工知能基本計画,Artificial Intelligence Basic Plan,Cabinet Office Japan,2025,Japanese,government_strategy,missing,A,Japan,cross-cutting,Sets Japan AI strategy and self-critique on lagging adoption and investment,policy priority; procurement guidance; diffusion targets,Official plan not outcome evidence,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-085,AI 기본법 및 국가AI전략위원회 자료,AI Basic Act and National AI Strategy Committee materials,Republic of Korea,2024-2026,Korean,law_and_strategy,missing,A,South Korea,cross-cutting,Creates statutory and whole-of-government AI strategy architecture,AI Basic Act; 12-domain action plan; public adoption,Official policy not outcome evidence,2026-06-26,Codex,staged,false,Official law/strategy source
src-v0-dr-086,National AI Strategy 2.0 and 2026 update,National AI Strategy 2.0 and 2026 update,Government of Singapore,2023-2026,English,government_strategy,missing,A,Singapore,cross-cutting,Frames Singapore AI around public good governance enterprise diffusion and public-sector use,public-sector AI; assurance tools; AI literacy; enterprise adoption,Small-country constraints and official claims,2026-06-26,Codex,staged,false,Official government source
src-v0-dr-087,IndiaAI Mission,IndiaAI Mission,Government of India; MeitY,2024-2026,English; Hindi,government_program,missing,A,India,cross-cutting,Builds public AI compute models startup financing safe AI data and skills,public GPU access; IndiaAI Compute Portal; AIKosh; skilling,Official targets and onboarded GPU counts need validation,2026-06-26,Codex,staged,false,Official government source; official claim
src-v0-dr-088,Economic Survey 2025-26 AI and Digital Public Infrastructure material,Economic Survey 2025-26 AI and Digital Public Infrastructure material,Government of India,2025-2026,English,government_report,missing,A,India,public-sector,Frames AI and digital public infrastructure as development and inclusion rails,DPI scale; public-sector AI; gig-worker risks,Official analysis and examples; outcome attribution limited,2026-06-26,Codex,staged,false,Official government source; empirical and policy claims
